State(x=7191.782884, y=-3040.536167, yaw=-1.570331, v=5.555556, rear_x=7191.782246, rear_y=-3039.166167, steering_angle=0.011486)
State(x=7191.794863, y=-3043.091688, yaw=-1.562239, v=5.555556, rear_x=7191.783139, rear_y=-3041.721738, steering_angle=0.006940)
State(x=7191.795813, y=-3043.202795, yaw=-1.561960, v=5.555556, rear_x=7191.783708, rear_y=-3041.832848, steering_angle=0.006863)
State(x=7191.796795, y=-3043.313901, yaw=-1.561685, v=5.555556, rear_x=7191.784312, rear_y=-3041.943958, steering_angle=0.006794)
State(x=7191.797808, y=-3043.425008, yaw=-1.561412, v=5.555556, rear_x=7191.784951, rear_y=-3042.055068, steering_angle=0.006734)
State(x=7191.798850, y=-3043.536114, yaw=-1.561141, v=5.555556, rear_x=7191.785622, rear_y=-3042.166178, steering_angle=0.006680)
State(x=7191.799923, y=-3043.647220, yaw=-1.560872, v=5.555556, rear_x=7191.786327, rear_y=-3042.277288, steering_angle=0.006634)
State(x=7191.801026, y=-3043.758326, yaw=-1.560604, v=5.555556, rear_x=7191.787063, rear_y=-3042.388397, steering_angle=0.006595)
State(x=7191.802158, y=-3043.869431, yaw=-1.560338, v=5.555556, rear_x=7191.787831, rear_y=-3042.499506, steering_angle=0.006563)
State(x=7191.803320, y=-3043.980536, yaw=-1.560073, v=5.555556, rear_x=7191.788630, rear_y=-3042.610615, steering_angle=0.006538)
State(x=7191.804512, y=-3044.091641, yaw=-1.559809, v=5.555556, rear_x=7191.789459, rear_y=-3042.721724, steering_angle=0.006518)
State(x=7191.805733, y=-3044.202745, yaw=-1.559545, v=5.555556, rear_x=7191.790318, rear_y=-3042.832832, steering_angle=0.006505)
State(x=7191.806983, y=-3044.313849, yaw=-1.559281, v=5.555556, rear_x=7191.791208, rear_y=-3042.943940, steering_angle=0.006498)
State(x=7191.808262, y=-3044.424953, yaw=-1.559018, v=5.555556, rear_x=7191.792126, rear_y=-3043.055048, steering_angle=0.006496)
State(x=7191.809571, y=-3044.536056, yaw=-1.558754, v=5.555556, rear_x=7191.793074, rear_y=-3043.166156, steering_angle=0.006499)
State(x=7191.810909, y=-3044.647159, yaw=-1.558491, v=5.555556, rear_x=7191.794050, rear_y=-3043.277263, steering_angle=0.006508)
State(x=7191.812276, y=-3044.758262, yaw=-1.558226, v=5.555556, rear_x=7191.795055, rear_y=-3043.388370, steering_angle=0.006521)
State(x=7191.813673, y=-3044.869365, yaw=-1.557961, v=5.555556, rear_x=7191.796089, rear_y=-3043.499477, steering_angle=0.006539)
State(x=7191.815099, y=-3044.980466, yaw=-1.557695, v=5.555556, rear_x=7191.797150, rear_y=-3043.610584, steering_angle=0.006561)
State(x=7191.816554, y=-3045.091568, yaw=-1.557428, v=5.555556, rear_x=7191.798240, rear_y=-3043.721690, steering_angle=0.006588)
State(x=7191.818040, y=-3045.202669, yaw=-1.557159, v=5.555556, rear_x=7191.799358, rear_y=-3043.832797, steering_angle=0.006619)
State(x=7191.819555, y=-3045.313770, yaw=-1.556889, v=5.555556, rear_x=7191.800503, rear_y=-3043.943903, steering_angle=0.006653)
State(x=7191.821100, y=-3045.424870, yaw=-1.556618, v=5.555556, rear_x=7191.801677, rear_y=-3044.055008, steering_angle=0.006691)
State(x=7191.822675, y=-3045.535970, yaw=-1.556345, v=5.555556, rear_x=7191.802878, rear_y=-3044.166113, steering_angle=0.006733)
State(x=7191.824281, y=-3045.647070, yaw=-1.556070, v=5.555556, rear_x=7191.804107, rear_y=-3044.277218, steering_angle=0.006778)
State(x=7191.825917, y=-3045.758169, yaw=-1.555793, v=5.555556, rear_x=7191.805364, rear_y=-3044.388323, steering_angle=0.006826)
State(x=7191.827584, y=-3045.869268, yaw=-1.555515, v=5.555556, rear_x=7191.806649, rear_y=-3044.499427, steering_angle=0.006877)
State(x=7191.829282, y=-3045.980366, yaw=-1.555234, v=5.555556, rear_x=7191.807962, rear_y=-3044.610532, steering_angle=0.006930)
State(x=7191.831011, y=-3046.091463, yaw=-1.554950, v=5.555556, rear_x=7191.809303, rear_y=-3044.721635, steering_angle=0.006986)
State(x=7191.832772, y=-3046.202560, yaw=-1.554665, v=5.555556, rear_x=7191.810672, rear_y=-3044.832739, steering_angle=0.007045)
State(x=7191.834564, y=-3046.313657, yaw=-1.554376, v=5.555556, rear_x=7191.812070, rear_y=-3044.943842, steering_angle=0.007106)
State(x=7191.836389, y=-3046.424753, yaw=-1.554086, v=5.555556, rear_x=7191.813496, rear_y=-3045.054945, steering_angle=0.007170)
State(x=7191.838245, y=-3046.535849, yaw=-1.553792, v=5.555556, rear_x=7191.814951, rear_y=-3045.166047, steering_angle=0.007235)
State(x=7191.840134, y=-3046.646944, yaw=-1.553496, v=5.555556, rear_x=7191.816434, rear_y=-3045.277149, steering_angle=0.007302)
State(x=7191.842057, y=-3046.758038, yaw=-1.553197, v=5.555556, rear_x=7191.817947, rear_y=-3045.388251, steering_angle=0.007371)
State(x=7191.844012, y=-3046.869132, yaw=-1.552895, v=5.555556, rear_x=7191.819489, rear_y=-3045.499352, steering_angle=0.007442)
State(x=7191.846001, y=-3046.980226, yaw=-1.552591, v=5.555556, rear_x=7191.821060, rear_y=-3045.610453, steering_angle=0.007515)
State(x=7191.848024, y=-3047.091318, yaw=-1.552283, v=5.555556, rear_x=7191.822662, rear_y=-3045.721553, steering_angle=0.007589)
State(x=7191.850081, y=-3047.202410, yaw=-1.551972, v=5.555556, rear_x=7191.824293, rear_y=-3045.832653, steering_angle=0.007664)
State(x=7191.852172, y=-3047.313502, yaw=-1.551658, v=5.555556, rear_x=7191.825954, rear_y=-3045.943753, steering_angle=0.007741)
State(x=7191.854298, y=-3047.424593, yaw=-1.551341, v=5.555556, rear_x=7191.827646, rear_y=-3046.054852, steering_angle=0.007819)
State(x=7191.856460, y=-3047.535683, yaw=-1.551021, v=5.555556, rear_x=7191.829369, rear_y=-3046.165951, steering_angle=0.007897)
State(x=7191.858657, y=-3047.646772, yaw=-1.550697, v=5.555556, rear_x=7191.831123, rear_y=-3046.277049, steering_angle=0.007977)
State(x=7191.860890, y=-3047.757861, yaw=-1.550371, v=5.555556, rear_x=7191.832909, rear_y=-3046.388146, steering_angle=0.008058)
State(x=7191.863159, y=-3047.868949, yaw=-1.550041, v=5.555556, rear_x=7191.834726, rear_y=-3046.499244, steering_angle=0.008140)
State(x=7191.865465, y=-3047.980036, yaw=-1.549707, v=5.555556, rear_x=7191.836575, rear_y=-3046.610340, steering_angle=0.008222)
State(x=7191.867809, y=-3048.091122, yaw=-1.549370, v=5.555556, rear_x=7191.838457, rear_y=-3046.721437, steering_angle=0.008305)
State(x=7191.870189, y=-3048.202208, yaw=-1.549030, v=5.555556, rear_x=7191.840372, rear_y=-3046.832532, steering_angle=0.008389)
State(x=7191.872607, y=-3048.313293, yaw=-1.548686, v=5.555556, rear_x=7191.842319, rear_y=-3046.943627, steering_angle=0.008474)
State(x=7191.875064, y=-3048.424377, yaw=-1.548339, v=5.555556, rear_x=7191.844300, rear_y=-3047.054722, steering_angle=0.008559)
State(x=7191.877559, y=-3048.535460, yaw=-1.547989, v=5.555556, rear_x=7191.846315, rear_y=-3047.165816, steering_angle=0.008644)
State(x=7191.880093, y=-3048.646542, yaw=-1.547635, v=5.555556, rear_x=7191.848364, rear_y=-3047.276909, steering_angle=0.008730)
State(x=7191.882666, y=-3048.757623, yaw=-1.547277, v=5.555556, rear_x=7191.850448, rear_y=-3047.388002, steering_angle=0.008817)
State(x=7191.885279, y=-3048.868704, yaw=-1.546916, v=5.555556, rear_x=7191.852566, rear_y=-3047.499094, steering_angle=0.008903)
State(x=7191.887932, y=-3048.979783, yaw=-1.546552, v=5.555556, rear_x=7191.854720, rear_y=-3047.610186, steering_angle=0.008990)
State(x=7191.890626, y=-3049.090861, yaw=-1.546184, v=5.555556, rear_x=7191.856910, rear_y=-3047.721276, steering_angle=0.009077)
State(x=7191.893360, y=-3049.201939, yaw=-1.545812, v=5.555556, rear_x=7191.859135, rear_y=-3047.832366, steering_angle=0.009164)
State(x=7191.896136, y=-3049.313015, yaw=-1.545437, v=5.555556, rear_x=7191.861397, rear_y=-3047.943456, steering_angle=0.009252)
State(x=7191.898953, y=-3049.424091, yaw=-1.545058, v=5.555556, rear_x=7191.863696, rear_y=-3048.054544, steering_angle=0.009340)
State(x=7191.901813, y=-3049.535165, yaw=-1.544676, v=5.555556, rear_x=7191.866032, rear_y=-3048.165632, steering_angle=0.009427)
State(x=7191.904715, y=-3049.646238, yaw=-1.544290, v=5.555556, rear_x=7191.868405, rear_y=-3048.276719, steering_angle=0.009515)
State(x=7191.907660, y=-3049.757310, yaw=-1.543900, v=5.555556, rear_x=7191.870817, rear_y=-3048.387806, steering_angle=0.009603)
State(x=7191.910648, y=-3049.868381, yaw=-1.543507, v=5.555556, rear_x=7191.873266, rear_y=-3048.498891, steering_angle=0.009691)
State(x=7191.913679, y=-3049.979451, yaw=-1.543111, v=5.555556, rear_x=7191.875755, rear_y=-3048.609976, steering_angle=0.009779)
State(x=7191.916755, y=-3050.090520, yaw=-1.542711, v=5.555556, rear_x=7191.878283, rear_y=-3048.721060, steering_angle=0.009866)
State(x=7191.919875, y=-3050.201587, yaw=-1.542307, v=5.555556, rear_x=7191.880850, rear_y=-3048.832143, steering_angle=0.009954)
State(x=7191.923040, y=-3050.312653, yaw=-1.541900, v=5.555556, rear_x=7191.883458, rear_y=-3048.943225, steering_angle=0.010042)
State(x=7191.926251, y=-3050.423718, yaw=-1.541489, v=5.555556, rear_x=7191.886105, rear_y=-3049.054306, steering_angle=0.010130)
State(x=7191.929507, y=-3050.534781, yaw=-1.541075, v=5.555556, rear_x=7191.888794, rear_y=-3049.165386, steering_angle=0.010217)
State(x=7191.932809, y=-3050.645843, yaw=-1.540657, v=5.555556, rear_x=7191.891524, rear_y=-3049.276465, steering_angle=0.010305)
State(x=7191.936157, y=-3050.756904, yaw=-1.540235, v=5.555556, rear_x=7191.894295, rear_y=-3049.387543, steering_angle=0.010392)
State(x=7191.939552, y=-3050.867963, yaw=-1.539810, v=5.555556, rear_x=7191.897108, rear_y=-3049.498621, steering_angle=0.010479)
State(x=7191.942994, y=-3050.979021, yaw=-1.539382, v=5.555556, rear_x=7191.899964, rear_y=-3049.609697, steering_angle=0.010566)
State(x=7191.946484, y=-3051.090077, yaw=-1.538950, v=5.555556, rear_x=7191.902862, rear_y=-3049.720772, steering_angle=0.010653)
State(x=7191.950022, y=-3051.201132, yaw=-1.538514, v=5.555556, rear_x=7191.905804, rear_y=-3049.831846, steering_angle=0.010739)
State(x=7191.953609, y=-3051.312185, yaw=-1.538075, v=5.555556, rear_x=7191.908789, rear_y=-3049.942918, steering_angle=0.010826)
State(x=7191.957244, y=-3051.423237, yaw=-1.537633, v=5.555556, rear_x=7191.911818, rear_y=-3050.053990, steering_angle=0.010912)
State(x=7191.960928, y=-3051.534287, yaw=-1.537187, v=5.555556, rear_x=7191.914891, rear_y=-3050.165060, steering_angle=0.010998)
State(x=7191.964661, y=-3051.645335, yaw=-1.536737, v=5.555556, rear_x=7191.918010, rear_y=-3050.276129, steering_angle=0.011084)
State(x=7191.968445, y=-3051.756382, yaw=-1.536284, v=5.555556, rear_x=7191.921173, rear_y=-3050.387197, steering_angle=0.011170)
State(x=7191.972279, y=-3051.867427, yaw=-1.535828, v=5.555556, rear_x=7191.924382, rear_y=-3050.498264, steering_angle=0.011255)
State(x=7191.976163, y=-3051.978470, yaw=-1.535368, v=5.555556, rear_x=7191.927637, rear_y=-3050.609329, steering_angle=0.011340)
State(x=7191.980099, y=-3052.089511, yaw=-1.534905, v=5.555556, rear_x=7191.930938, rear_y=-3050.720393, steering_angle=0.011425)
State(x=7191.984086, y=-3052.200551, yaw=-1.534438, v=5.555556, rear_x=7191.934286, rear_y=-3050.831456, steering_angle=0.011510)
State(x=7191.988125, y=-3052.311588, yaw=-1.533968, v=5.555556, rear_x=7191.937681, rear_y=-3050.942517, steering_angle=0.011594)
State(x=7191.992216, y=-3052.422624, yaw=-1.533494, v=5.555556, rear_x=7191.941124, rear_y=-3051.053577, steering_angle=0.011679)
State(x=7191.996360, y=-3052.533658, yaw=-1.533017, v=5.555556, rear_x=7191.944615, rear_y=-3051.164636, steering_angle=0.011763)
State(x=7192.000557, y=-3052.644690, yaw=-1.532537, v=5.555556, rear_x=7191.948154, rear_y=-3051.275692, steering_angle=0.011847)
State(x=7192.004807, y=-3052.755720, yaw=-1.532053, v=5.555556, rear_x=7191.951741, rear_y=-3051.386748, steering_angle=0.011931)
State(x=7192.009111, y=-3052.866747, yaw=-1.531566, v=5.555556, rear_x=7191.955378, rear_y=-3051.497801, steering_angle=0.012015)
State(x=7192.013468, y=-3052.977773, yaw=-1.531075, v=5.555556, rear_x=7191.959064, rear_y=-3051.608854, steering_angle=0.012098)
State(x=7192.017881, y=-3053.088796, yaw=-1.530581, v=5.555556, rear_x=7191.962801, rear_y=-3051.719904, steering_angle=0.012180)
State(x=7192.022348, y=-3053.199818, yaw=-1.530084, v=5.555556, rear_x=7191.966587, rear_y=-3051.830953, steering_angle=0.012263)
State(x=7192.026870, y=-3053.310837, yaw=-1.529583, v=5.555556, rear_x=7191.970424, rear_y=-3051.942000, steering_angle=0.012346)
State(x=7192.031448, y=-3053.421853, yaw=-1.529079, v=5.555556, rear_x=7191.974312, rear_y=-3052.053045, steering_angle=0.012429)
State(x=7192.036082, y=-3053.532868, yaw=-1.528572, v=5.555556, rear_x=7191.978251, rear_y=-3052.164089, steering_angle=0.012511)
State(x=7192.040772, y=-3053.643880, yaw=-1.528061, v=5.555556, rear_x=7191.982243, rear_y=-3052.275131, steering_angle=0.012593)
State(x=7192.045519, y=-3053.754890, yaw=-1.527547, v=5.555556, rear_x=7191.986286, rear_y=-3052.386171, steering_angle=0.012675)
State(x=7192.050323, y=-3053.865897, yaw=-1.527030, v=5.555556, rear_x=7191.990382, rear_y=-3052.497209, steering_angle=0.012757)
State(x=7192.055185, y=-3053.976902, yaw=-1.526509, v=5.555556, rear_x=7191.994531, rear_y=-3052.608245, steering_angle=0.012838)
State(x=7192.060104, y=-3054.087904, yaw=-1.525985, v=5.555556, rear_x=7191.998733, rear_y=-3052.719279, steering_angle=0.012919)
State(x=7192.065081, y=-3054.198903, yaw=-1.525458, v=5.555556, rear_x=7192.002989, rear_y=-3052.830311, steering_angle=0.013000)
State(x=7192.070117, y=-3054.309900, yaw=-1.524927, v=5.555556, rear_x=7192.007299, rear_y=-3052.941341, steering_angle=0.013081)
State(x=7192.075212, y=-3054.420894, yaw=-1.524394, v=5.555556, rear_x=7192.011663, rear_y=-3053.052369, steering_angle=0.013162)
State(x=7192.080366, y=-3054.531886, yaw=-1.523857, v=5.555556, rear_x=7192.016082, rear_y=-3053.163395, steering_angle=0.013243)
State(x=7192.085580, y=-3054.642875, yaw=-1.523316, v=5.555556, rear_x=7192.020556, rear_y=-3053.274419, steering_angle=0.013323)
State(x=7192.090853, y=-3054.753861, yaw=-1.522773, v=5.555556, rear_x=7192.025086, rear_y=-3053.385440, steering_angle=0.013403)
State(x=7192.096187, y=-3054.864844, yaw=-1.522226, v=5.555556, rear_x=7192.029672, rear_y=-3053.496459, steering_angle=0.013484)
State(x=7192.101582, y=-3054.975824, yaw=-1.521676, v=5.555556, rear_x=7192.034314, rear_y=-3053.607476, steering_angle=0.013563)
State(x=7192.107037, y=-3055.086801, yaw=-1.521123, v=5.555556, rear_x=7192.039012, rear_y=-3053.718491, steering_angle=0.013643)
State(x=7192.112554, y=-3055.197775, yaw=-1.520566, v=5.555556, rear_x=7192.043768, rear_y=-3053.829503, steering_angle=0.013723)
State(x=7192.118133, y=-3055.308746, yaw=-1.520006, v=5.555556, rear_x=7192.048581, rear_y=-3053.940512, steering_angle=0.013802)
State(x=7192.123774, y=-3055.419714, yaw=-1.519443, v=5.555556, rear_x=7192.053451, rear_y=-3054.051520, steering_angle=0.013882)
State(x=7192.129477, y=-3055.530678, yaw=-1.518877, v=5.555556, rear_x=7192.058380, rear_y=-3054.162524, steering_angle=0.013961)
State(x=7192.135244, y=-3055.641640, yaw=-1.518308, v=5.555556, rear_x=7192.063367, rear_y=-3054.273526, steering_angle=0.014040)
State(x=7192.141073, y=-3055.752598, yaw=-1.517735, v=5.555556, rear_x=7192.068413, rear_y=-3054.384526, steering_angle=0.014119)
State(x=7192.146966, y=-3055.863552, yaw=-1.517159, v=5.555556, rear_x=7192.073519, rear_y=-3054.495523, steering_angle=0.014198)
State(x=7192.152923, y=-3055.974504, yaw=-1.516580, v=5.555556, rear_x=7192.078683, rear_y=-3054.606517, steering_angle=0.014277)
State(x=7192.158944, y=-3056.085452, yaw=-1.515998, v=5.555556, rear_x=7192.083908, rear_y=-3054.717508, steering_angle=0.014355)
State(x=7192.165029, y=-3056.196396, yaw=-1.515413, v=5.555556, rear_x=7192.089193, rear_y=-3054.828497, steering_angle=0.014434)
State(x=7192.171180, y=-3056.307337, yaw=-1.514824, v=5.555556, rear_x=7192.094539, rear_y=-3054.939482, steering_angle=0.014512)
State(x=7192.177396, y=-3056.418274, yaw=-1.514233, v=5.555556, rear_x=7192.099945, rear_y=-3055.050465, steering_angle=0.014590)
State(x=7192.183677, y=-3056.529207, yaw=-1.513638, v=5.555556, rear_x=7192.105413, rear_y=-3055.161445, steering_angle=0.014668)
State(x=7192.190025, y=-3056.640137, yaw=-1.513040, v=5.555556, rear_x=7192.110942, rear_y=-3055.272421, steering_angle=0.014747)
State(x=7192.196439, y=-3056.751063, yaw=-1.512439, v=5.555556, rear_x=7192.116534, rear_y=-3055.383395, steering_angle=0.014825)
State(x=7192.202919, y=-3056.861985, yaw=-1.511834, v=5.555556, rear_x=7192.122188, rear_y=-3055.494365, steering_angle=0.014903)
State(x=7192.209467, y=-3056.972903, yaw=-1.511227, v=5.555556, rear_x=7192.127905, rear_y=-3055.605333, steering_angle=0.014980)
State(x=7192.216082, y=-3057.083817, yaw=-1.510616, v=5.555556, rear_x=7192.133684, rear_y=-3055.716297, steering_angle=0.015058)
State(x=7192.222764, y=-3057.194727, yaw=-1.510002, v=5.555556, rear_x=7192.139528, rear_y=-3055.827258, steering_angle=0.015136)
State(x=7192.229515, y=-3057.305633, yaw=-1.509385, v=5.555556, rear_x=7192.145435, rear_y=-3055.938215, steering_angle=0.015213)
State(x=7192.236334, y=-3057.416534, yaw=-1.508765, v=5.555556, rear_x=7192.151406, rear_y=-3056.049169, steering_angle=0.015291)
State(x=7192.243222, y=-3057.527432, yaw=-1.508142, v=5.555556, rear_x=7192.157442, rear_y=-3056.160120, steering_angle=0.015369)
State(x=7192.250179, y=-3057.638325, yaw=-1.507515, v=5.555556, rear_x=7192.163542, rear_y=-3056.271067, steering_angle=0.015446)
State(x=7192.257206, y=-3057.749213, yaw=-1.506886, v=5.555556, rear_x=7192.169708, rear_y=-3056.382010, steering_angle=0.015523)
State(x=7192.264302, y=-3057.860098, yaw=-1.506253, v=5.555556, rear_x=7192.175939, rear_y=-3056.492950, steering_angle=0.015601)
State(x=7192.271469, y=-3057.970977, yaw=-1.505617, v=5.555556, rear_x=7192.182237, rear_y=-3056.603887, steering_angle=0.015678)
State(x=7192.278706, y=-3058.081853, yaw=-1.504978, v=5.555556, rear_x=7192.188600, rear_y=-3056.714819, steering_angle=0.015755)
State(x=7192.286013, y=-3058.192723, yaw=-1.504336, v=5.555556, rear_x=7192.195030, rear_y=-3056.825748, steering_angle=0.015832)
State(x=7192.293392, y=-3058.303589, yaw=-1.503691, v=5.555556, rear_x=7192.201527, rear_y=-3056.936672, steering_angle=0.015909)
State(x=7192.300843, y=-3058.414450, yaw=-1.503043, v=5.555556, rear_x=7192.208092, rear_y=-3057.047593, steering_angle=0.015986)
State(x=7192.308365, y=-3058.525306, yaw=-1.502391, v=5.555556, rear_x=7192.214724, rear_y=-3057.158510, steering_angle=0.016063)
State(x=7192.315960, y=-3058.636157, yaw=-1.501737, v=5.555556, rear_x=7192.221424, rear_y=-3057.269423, steering_angle=0.016140)
State(x=7192.323627, y=-3058.747004, yaw=-1.501079, v=5.555556, rear_x=7192.228192, rear_y=-3057.380332, steering_angle=0.016217)
State(x=7192.331367, y=-3058.857845, yaw=-1.500418, v=5.555556, rear_x=7192.235029, rear_y=-3057.491236, steering_angle=0.016294)
State(x=7192.339180, y=-3058.968681, yaw=-1.499755, v=5.555556, rear_x=7192.241935, rear_y=-3057.602137, steering_angle=0.016370)
State(x=7192.347067, y=-3059.079512, yaw=-1.499088, v=5.555556, rear_x=7192.248910, rear_y=-3057.713033, steering_angle=0.016447)
State(x=7192.355028, y=-3059.190337, yaw=-1.498417, v=5.555556, rear_x=7192.255956, rear_y=-3057.823924, steering_angle=0.016523)
State(x=7192.363063, y=-3059.301158, yaw=-1.497744, v=5.555556, rear_x=7192.263071, rear_y=-3057.934812, steering_angle=0.016600)
State(x=7192.371173, y=-3059.411972, yaw=-1.497068, v=5.555556, rear_x=7192.270256, rear_y=-3058.045694, steering_angle=0.016677)
State(x=7192.379358, y=-3059.522782, yaw=-1.496388, v=5.555556, rear_x=7192.277513, rear_y=-3058.156572, steering_angle=0.016754)
State(x=7192.387617, y=-3059.633585, yaw=-1.495706, v=5.555556, rear_x=7192.284840, rear_y=-3058.267446, steering_angle=0.016830)
State(x=7192.395953, y=-3059.744383, yaw=-1.495020, v=5.555556, rear_x=7192.292239, rear_y=-3058.378315, steering_angle=0.016907)
State(x=7192.404365, y=-3059.855176, yaw=-1.494331, v=5.555556, rear_x=7192.299710, rear_y=-3058.489179, steering_angle=0.016983)
State(x=7192.412852, y=-3059.965962, yaw=-1.493640, v=5.555556, rear_x=7192.307252, rear_y=-3058.600038, steering_angle=0.017060)
State(x=7192.421417, y=-3060.076743, yaw=-1.492945, v=5.555556, rear_x=7192.314868, rear_y=-3058.710892, steering_angle=0.017136)
State(x=7192.430058, y=-3060.187517, yaw=-1.492247, v=5.555556, rear_x=7192.322556, rear_y=-3058.821741, steering_angle=0.017212)
State(x=7192.438777, y=-3060.298286, yaw=-1.491545, v=5.555556, rear_x=7192.330317, rear_y=-3058.932586, steering_angle=0.017289)
State(x=7192.447573, y=-3060.409048, yaw=-1.490841, v=5.555556, rear_x=7192.338152, rear_y=-3059.043425, steering_angle=0.017365)
State(x=7192.456448, y=-3060.519804, yaw=-1.490134, v=5.555556, rear_x=7192.346060, rear_y=-3059.154259, steering_angle=0.017442)
State(x=7192.465401, y=-3060.630554, yaw=-1.489423, v=5.555556, rear_x=7192.354043, rear_y=-3059.265087, steering_angle=0.017518)
State(x=7192.474432, y=-3060.741297, yaw=-1.488710, v=5.555556, rear_x=7192.362100, rear_y=-3059.375910, steering_angle=0.017594)
State(x=7192.483543, y=-3060.852034, yaw=-1.487993, v=5.555556, rear_x=7192.370232, rear_y=-3059.486728, steering_angle=0.017671)
State(x=7192.492732, y=-3060.962765, yaw=-1.487273, v=5.555556, rear_x=7192.378439, rear_y=-3059.597541, steering_angle=0.017747)
State(x=7192.502002, y=-3061.073489, yaw=-1.486551, v=5.555556, rear_x=7192.386722, rear_y=-3059.708347, steering_angle=0.017823)
State(x=7192.511352, y=-3061.184206, yaw=-1.485825, v=5.555556, rear_x=7192.395080, rear_y=-3059.819148, steering_angle=0.017899)
State(x=7192.520782, y=-3061.294916, yaw=-1.485096, v=5.555556, rear_x=7192.403515, rear_y=-3059.929944, steering_angle=0.017975)
State(x=7192.530292, y=-3061.405619, yaw=-1.484364, v=5.555556, rear_x=7192.412027, rear_y=-3060.040733, steering_angle=0.018052)
State(x=7192.539884, y=-3061.516316, yaw=-1.483628, v=5.555556, rear_x=7192.420615, rear_y=-3060.151517, steering_angle=0.018128)
State(x=7192.549557, y=-3061.627005, yaw=-1.482890, v=5.555556, rear_x=7192.429280, rear_y=-3060.262295, steering_angle=0.018204)
State(x=7192.559312, y=-3061.737687, yaw=-1.482149, v=5.555556, rear_x=7192.438023, rear_y=-3060.373066, steering_angle=0.018280)
State(x=7192.569149, y=-3061.848362, yaw=-1.481404, v=5.555556, rear_x=7192.446844, rear_y=-3060.483832, steering_angle=0.018356)
State(x=7192.579068, y=-3061.959029, yaw=-1.480657, v=5.555556, rear_x=7192.455744, rear_y=-3060.594591, steering_angle=0.018432)
State(x=7192.589070, y=-3062.069689, yaw=-1.479906, v=5.555556, rear_x=7192.464721, rear_y=-3060.705344, steering_angle=0.018508)
State(x=7192.599155, y=-3062.180342, yaw=-1.479152, v=5.555556, rear_x=7192.473778, rear_y=-3060.816091, steering_angle=0.018584)
